score,description,date,sentimento
1.0,O produto aparece usado...em baixo do aparelho os botões tem arranhões. Um produto novo não tem arranhões...,13/11/2019,Ruim
5.0,"Mouse sem fio ótimo, sem delay, nano receptor e pilhas inclusos tudo dentro do mouse, material resistente e logitech é uma ótima marca",19/08/2019,Bom
3.0,"A construção do mouse em si é boa, os clicks são consistentes, não são duros nem moles demais. O formato é relativamente pequeno, mas isso é esperado de um mouse wireless. O peso é ideal para o meu gosto pessoal, mesmo com a pilha. O maior problema dele é o sensor, de apenas 125hz, que é MUITO impreciso. Movimentos mais lentos fazem parecer que estou usando o mouse durante um rally, as linhas saem todas tortas, apresentando muito jitter no sinal do sensor, mesmo testando em mousepads diferentes e em computadores diferentes. Não sei dizer se é um defeito do mouse ou se é normal do modelo, pois é o unico que testei",15/03/2019,Neutro
5.0,"A mídia não pôde ser carregada.               Gostei muito do produto. O receptor USB fica guardado dentro do mouse. Muito confortável e levinho, ótimo para transportar! Não é o ideal para jogos, mas cumpre o que promete e supre minhas necessidades diárias. Os cliques são macios e não achei muito barulhento (comparado com alguns mouses que já usei).Uma coisa que me surpreendeu foi ter um laser invisível: quanto conectei o mouse no computador, fiquei apertando os botões e esperando a luzinha vermelha acender 🤦🏻‍♀️",31/07/2020,Bom
1.0,"O mouse está em boas condições, funcionando bem e foi entregue no prazo. Veio na embalagem, tudo certinho. No entanto, olhando atentamente embaixo do mouse, onde possui as ""bolinhas"" quando se arrasta o mouse, notei que existiam vários riscos  (como se alguém já tivesse utilizado o produto). Estou totalmente desapontado, venderam pelo preço de um produto novo e mandaram um usado. NÃO RECOMENDO A COMPRA!!!!!!!!!!!!",21/06/2020,Ruim
3.0,"Sempre gostei dos Mouses da Logitech, mas o produto apresenta marcas nas borrachinhas da parte inferior. Desconfio que não seja realmente novo.Ao iniciar o  uso, o mesmo está apresentando um barulho alto no scroll! Aqueles barulhos chatos de ""falta de lubrificação"" ou algo do tipo.",13/12/2019,Neutro
5.0,"Até agora, o melhor mouse que eu já comprei! Muito gostoso de usar e mesmo depois de carregá-lo para vários lugares comigo, ele não está dando clique duplo ou tendo problemas para clicar e arrastar. Como designer, é muito importante eu poder contar com todas as funcionalidades do mouse funcionando a 100% e até agora estou achando maravilhoso!",10/06/2019,Bom
1.0,"O scroll do mouse estragou com 5 meses de uso. Entrei em contato com a garantia pelo site, me mandaram um e-mail genérico dizendo pra eu fazer a limpeza do mouse com ar comprimido. Fiz e o defeito continuou. Ligo no suporte da Logitech e a linha cai, mesmo estando dentro do horário de funcionamento. Nunca mais compro nada dessa marca, do que adianta dizer que o produto tem garantia de um ano se quando a gente precisa acionar ela não existe?",8/01/2021,Ruim
5.0,"Estou usando o produto ja faz mais de uma semana e estou adorando. Ele desliza bem em diversas superfícies e tem uma pegada confortável. Vem com pilha e o usb vem internamente. O alcance realmente me surpreendeu, mais de 5 m de distancia e continuou pegando. Pelo custo benefício vale mto a pena.",14/12/2019,Bom
3.0,"Chegou muito rápido o produto, a entrega do objeto não deixa a desejar, isso a Amazon é muito responsável, mas, como eu vi em vários comentários o produto ele não é novo!! Veio realmente usado como mostra as fotos!!! O site Amazon deveria banir quem faz propaganda enganosa!!! Eu paguei foi pra ter um produto novo e não usado!!! Falta de respeito com o consumidor, dá próxima vez que eu comprar um produto no site da Amazon e ele vim usado eu não vou deixar passar, vou atrás dos meus direitos de consumidora até o fim!!! Como mostra nas fts a tampinha do mouse onde remove e coloca pilha ela ta suja e as borrachas redondas tbm. Tratem de respeitar seus clientes e vão banir os responsáveis por passar propaganda falsa de um produto usado sem ser novo!!!",13/08/2020,Neutro
